"code","name"
"515230027301","TÉCNICO SUPERIOR desarrollo de productos electrónicos"
"515230027303","TÉCNICO SUPERIOR sistemas de regulación y control automáticos"
"515230027304","TÉCNICO SUPERIOR sistemas de telecomunicación e informáticos"
"515230027306","TÉCNICO SUPERIOR en Sistemas de Telecomunicaciones e Informáticos"
"515230027307","TÉCNICO SUPERIOR en Mantenimiento Electrónico"
"515230027308","TÉCNICO SUPERIOR en Automatización y Robótica Industrial"
"515240026601","TÉCNICO SUPERIOR análisis y control"
"515240026602","TÉCNICO SUPERIOR fabricación de productos farmacéuticos y afines"
"515240026604","TÉCNICO SUPERIOR industrias de proceso químico"
"515240026606","TÉCNICO SUPERIOR química ambiental"
"515240026607","TÉCNICO SUPERIOR en Laboratorio de Análisis y de Control de Calidad"
"515240026608","TÉCNICO SUPERIOR en Química Industrial"
"515250021203","TÉCNICO SUPERIOR supervisión y control de máquinas e instalaciones del buque"
"515250021206","TÉCNICO SUPERIOR en Organización del Mantenimiento de Maquinaria de Buques y Embarcaciones"
"515250023201","TÉCNICO SUPERIOR automoción"
"515250023202","TÉCNICO SUPERIOR mantenimiento aeromecánico"
"515250023203","TÉCNICO SUPERIOR mantenimiento de aviónica"
"515410026301","TÉCNICO SUPERIOR industria alimentaria"
"515410026302","TÉCNICO SUPERIOR en vitivinicultura"
"515410026303","TÉCNICO SUPERIOR en Procesos y Calidad en la Industria Alimentaria"
"515420026701","TÉCNICO SUPERIOR curtidos"
"515420026702","TÉCNICO SUPERIOR patronaje"
"515420026703","TÉCNICO SUPERIOR procesos de confección industrial"
"515420026704","TÉCNICO SUPERIOR proesos de ennoblecimiento textil"
"515420026705","TÉCNICO SUPERIOR procesos textiles de hilatura y tejeduría de calada"
"515420026706","TÉCNICO SUPERIOR procesos textiles de tejeduría de punto"
"515420026707","TÉCNICO SUPERIOR en Patronaje y Moda"
"515420026708","TÉCNICO SUPERIOR en Diseño y Producción de Calzado y Complementos"
"515420026709","TÉCNICO SUPERIOR en Diseño Técnico en Textil y Piel"
"515420026710","TÉCNICO SUPERIOR en Vestuario a medida y de espectáculos"
"515430026501","TÉCNICO SUPERIOR desarrollo de productos en carpinteriay mueble"
"515430026502","TÉCNICO SUPERIOR producción de madera y mueble"
"515430026503","TÉCNICO SUPERIOR en Diseño y Amueblamiento"
"515430026603","TÉCNICO SUPERIOR industrias de proceso de pasta y papel"
"515430026605","TÉCNICO SUPERIOR plásticos y caucho"
"515430026801","TÉCNICO SUPERIOR desarrollo y fabricación de productos cerámicos"
"515430026802","TÉCNICO SUPERIOR fabricación y transformación de productos de vidrio"
"515810024101","TÉCNICO SUPERIOR desarrollo de proyectos urbanísticos y operaciones topográficas"
"515810024105","TÉCNICO SUPERIOR en Proyectos de Obra Civil"
"515820024102","TÉCNICO SUPERIOR desarrollo y aplicación de proyectos de construcción"
"515820024103","TÉCNICO SUPERIOR realización y planes de obra"
"515820024104","TÉCNICO SUPERIOR en Proyectos de Edificación"
"516210021101","TÉCNICO SUPERIOR gestión y organización de empresas agropecuarias"
"516210021105","TÉCNICO SUPERIOR en Ganadería y Asistencia en Sanidad Animal"
"516240021201","TÉCNICO SUPERIOR navegación, pesca y transporte marítimo"
"516240021202","TÉCNICO SUPERIOR producción acuícola"
"516240021204","TÉCNICO SUPERIOR en Acuicultura"
"516240021205","TÉCNICO SUPERIOR en Transporte Marítimo y Pesca de Altura"
"517200022111","TÉCNICO SUPERIOR salud ambiental"
"517210022101","TÉCNICO SUPERIOR anatomía patológica y citología"
"517240022105","TÉCNICO SUPERIOR higiene bucodental"
"517240022109","TÉCNICO SUPERIOR prótesis dentales"
"517250022102","TÉCNICO SUPERIOR audioprótesis"
"517250022106","TÉCNICO SUPERIOR imagen para el diagnostico"
"517250022107","TÉCNICO SUPERIOR laboratorio de diagnostico clínico"
"517250022108","TÉCNICO SUPERIOR ortoprotésica"
"517250022110","TÉCNICO SUPERIOR radioterapia"
"517250022112","TÉCNICO SUPERIOR en Audiología Protésica"
"517250026203","TÉCNICO SUPERIOR óptica de anteojería"
"517260022103","TÉCNICO SUPERIOR dietética"
"517620028403","TÉCNICO SUPERIOR integración social"
"518110025102","TÉCNICO SUPERIOR alojamiento"
"518110025105","TÉCNICO SUPERIOR restauración"
"518110025106","TÉCNICO SUPERIOR en Gestión de Alojamientos Turísticos"
"518110025109","TÉCNICO SUPERIOR en Dirección de Cocina"
"518110025110","TÉCNICO SUPERIOR en Dirección de Servicios en Restauración"
"518120025101","TÉCNICO SUPERIOR agencias de viajes"
"518120025103","TÉCNICO SUPERIOR animación turística"
"518120025104","TÉCNICO SUPERIOR información y comercialización turísticas"
"518120025107","TÉCNICO SUPERIOR en Agencias de Viajes y Gestión de Eventos"
"518120025108","TÉCNICO SUPERIOR en Guía, Información y Asistencias Turísticas"
"518120028401","TÉCNICO SUPERIOR animación sociocultural"
"518120028405","TÉCNICO SUPERIOR en Animación Sociocultural y Turística"
"518130028101","TÉCNICO SUPERIOR animación de actividades físicas y deportivas"
"518130028102","TÉCNICO SUPERIOR deportivo"
"518130028103","TÉCNICO DEPORTIVO SUPERIOR en Deportes de Montaña y Escalada"
"518130028104","TÉCNICO DEPORTIVO SUPERIOR en Deportes de Invierno"
"518130028105","TÉCNICO DEPORTIVO SUPERIOR en Fútbol"
"518130028106","TÉCNICO DEPORTIVO SUPERIOR en Fútbol Sala"
"518130028107","TÉCNICO DEPORTIVO SUPERIOR en Atletismo"
"518130028108","TÉCNICO DEPORTIVO SUPERIOR en Balonmano"
"518130028109","TÉCNICO DEPORTIVO SUPERIOR en Baloncesto"
"518130028110","TÉCNICO DEPORTIVO SUPERIOR en Hípica"
"518130028111","TÉCNICO DEPORTIVO SUPERIOR en Esgrima"
"518130028114","TÉCNICO DEPORTIVO SUPERIOR en Vela con Aparejo Libre"
"518130028115","TÉCNICO DEPORTIVO SUPERIOR en Vela con Aparejo Fijo"
"518130028116","TÉCNICO DEPORTIVO SUPERIOR en Judo y Defensa Persona"
"518130028117","TÉCNICO DEPORTIVO SUPERIOR en Salvamento y Socorrismo"
"518150028301","TÉCNICO SUPERIOR asesoría de imagen personal"
"518150028302","TÉCNICO SUPERIOR estética"
"518150028303","TÉCNICO SUPERIOR en Estética Integral y Bienestar"
"518150028304","TÉCNICO SUPERIOR en Estilismo y Dirección de Peluquería"
"518150028305","TÉCNICO SUPERIOR en Asesoría de Imagen Personal y Corporativa"
"518150028306","TÉCNICO SUPERIOR en Caracterización y Maquillaje Profesional"
