"id","code","description"
"ocu_355","7193","Instaladores de sistemas de impermeabilización en edificios"
"ocu_356","7199","Otros trabajadores de las obras estructurales de construcción no clasificados bajo otros epígrafes"
"ocu_357","7211","Escayolistas"
"ocu_358","7212","Aplicadores de revestimientos de pasta y mortero"
"ocu_359","7221","Fontaneros"
"ocu_360","7222","Montadores-instaladores de gas en edificios"
"ocu_361","7223","Instaladores de conductos en obra pública"
"ocu_362","7231","Pintores y empapeladores"
"ocu_363","7232","Pintores en las industrias manufactureras"
"ocu_364","7240","Soladores"
"ocu_365","7250","Mecánicos-instaladores de refrigeración y climatización"
"ocu_366","7291","Montadores de cubiertas"
"ocu_367","7292","Instaladores de material aislante térmico y de insonorización"
"ocu_368","7293","Cristaleros"
"ocu_369","7294","Montadores-instaladores de placas de energía solar"
"ocu_370","7295","Personal de limpieza de fachadas de edificios y chimeneas"
"ocu_371","7311","Moldeadores y macheros"
"ocu_372","7312","Soldadores y oxicortadores"
"ocu_373","7313","Chapistas y caldereros"
"ocu_374","7314","Montadores de estructuras metálicas"
"ocu_375","7315","Montadores de estructuras cableadas y empalmadores de cables"
"ocu_376","7321","Herreros y forjadores"
"ocu_377","7322","Trabajadores de la fabricación de herramientas"
"ocu_378","7323","Ajustadores y operadores de máquinas-herramienta"
"ocu_379","7324","Pulidores de metales y afiladores de herramientas"
"ocu_380","7401","Mecánicos y ajustadores de vehículos de motor"
"ocu_381","7402","Mecánicos y ajustadores de motores de avión"
"ocu_382","7403","Mecánicos y ajustadores de maquinaria agrícola e industrial"
"ocu_383","7404","Mecánicos y ajustadores de maquinaria naval y ferroviaria"
"ocu_384","7405","Reparadores de bicicletas y afines"
"ocu_385","7510","Electricistas de la construcción y afines"
"ocu_386","7521","Mecánicos y reparadores de equipos eléctricos"
"ocu_387","7522","Instaladores y reparadores de líneas eléctricas"
"ocu_388","7531","Mecánicos y reparadores de equipos electrónicos"
"ocu_389","7532","Instaladores y reparadores en electro medicina"
"ocu_390","7533","Instaladores y reparadores en tecnologías de la información y las comunicaciones"
"ocu_391","7611","Relojeros y mecánicos de instrumentos de precisión"
"ocu_392","7612","Lutieres y similares""," afinadores de instrumentos musicales"
"ocu_393","7613","Joyeros"
"ocu_394","7614","Trabajadores de la cerámica"
"ocu_395","7615","Sopladores"
"ocu_396","7616","Rotulistas"
"ocu_397","7617","Artesanos en madera y materiales similares""," cesteros"
"ocu_398","7618","Artesanos en tejidos"
"ocu_399","7619","Artesanos no clasificados bajo otros epígrafes"
"ocu_400","7621","Trabajadores de procesos de preimpresión"
"ocu_401","7622","Trabajadores de procesos de impresión"
"ocu_402","7623","Trabajadores de procesos de encuadernación"
"ocu_403","7701","Matarifes y trabajadores de las industrias cárnicas"
"ocu_404","7702","Trabajadores de las industrias del pescado"
"ocu_405","7703","Panaderos"
"ocu_406","7704","Trabajadores del tratamiento de la leche y elaboración de productos lácteos (incluidos helados)"
"ocu_407","7705","Trabajadores conserveros de frutas y hortalizas y trabajadores de la elaboración de bebidas no alcohólicas"
"ocu_408","7706","Trabajadores de la elaboración de bebidas alcohólicas distintas del vino"
"ocu_409","7707","Trabajadores de la elaboración del vino"
"ocu_410","7708","Preparadores y elaboradores del tabaco y sus productos"
